project_id,project_name,location,approved_budget,actual_spend,approval_flag,capitalization_rule,start_date,planned_end_date,actual_end_date,expected_roi,supporting_docs_flag,budget_variance,budget_variance_pct,delay_days
CAPEX-1160,Enhance Cross-Media Applications,Plant A,47327.0,44450.07,1,Capitalize,2025-06-08,2025-11-28,2025-11-14,-0.005,1,-2876.9300000000003,-0.061,-14
CAPEX-1161,Scale 24/365 Experiences,Plant B,123383.0,75128.47,1,Capitalize,2025-05-14,2025-12-01,2026-01-15,0.349,1,-48254.53,-0.391,45
CAPEX-1162,Cultivate Distributed Eyeballs,HQ,336014.0,345322.17,1,Expense,2026-01-19,2026-08-14,2026-10-22,0.311,1,9308.169999999984,0.028,69
CAPEX-1163,Innovate End-To-End Roi,HQ,462090.0,161634.39,1,Review Required,2025-07-04,2025-10-28,2025-11-25,0.059,0,-300455.61,-0.65,28
CAPEX-1164,Generate Granular E-Business,HQ,204819.0,69776.43,0,Capitalize,2026-05-04,2026-10-19,2027-01-06,0.169,1,-135042.57,-0.659,79
CAPEX-1165,Expedite Cross-Media Technologies,Plant B,194263.0,204803.22,1,Capitalize,2025-08-27,2025-11-27,2025-12-17,0.295,0,10540.220000000001,0.054,20
CAPEX-1166,Envisioneer Dynamic E-Tailers,Plant B,276890.0,122799.56,1,Capitalize,2025-09-16,2026-05-11,2026-07-23,0.047,1,-154090.44,-0.557,73
CAPEX-1167,Embrace Bricks-And-Clicks E-Commerce,HQ,397932.0,519136.19,1,Expense,2025-09-06,2025-12-31,2026-01-10,0.092,1,121204.19,0.305,10
CAPEX-1168,Envisioneer Value-Added Initiatives,HQ,251236.0,186138.95,1,Review Required,2026-01-13,2026-08-06,2026-12-03,0.344,1,-65097.04999999999,-0.259,119
CAPEX-1169,Re-Contextualize Efficient Web-Readiness,Plant A,27963.0,19067.4,1,Capitalize,2025-07-13,2025-09-28,2026-01-25,-0.01,1,-8895.599999999999,-0.318,119
CAPEX-1170,Syndicate Best-Of-Breed Eyeballs,HQ,328587.0,334353.32,1,Expense,2025-12-19,2026-02-21,2026-03-30,0.338,1,5766.320000000007,0.018,37
CAPEX-1171,Utilize Sticky Systems,Plant A,457343.0,91476.24,1,Review Required,2025-12-25,2026-07-10,2026-07-04,0.162,1,-365866.76,-0.8,-6
CAPEX-1172,Embrace Robust Relationships,Plant C,468536.0,470360.27,1,Review Required,2025-07-25,2026-01-01,2026-02-26,0.035,1,1824.2700000000186,0.004,56
CAPEX-1173,Syndicate Visionary Models,HQ,132565.0,38964.38,1,Capitalize,2025-11-16,2026-06-20,2026-09-07,0.072,1,-93600.62,-0.706,79
CAPEX-1174,Integrate World-Class Roi,Plant B,383756.0,289300.64,1,Capitalize,2026-05-17,2027-01-10,2027-02-06,-0.036,1,-94455.35999999999,-0.246,27
CAPEX-1175,Target Back-End Metrics,HQ,65334.0,43719.21,1,Capitalize,2025-10-28,2026-03-31,2026-06-11,0.327,1,-21614.79,-0.331,72
CAPEX-1176,Cultivate Bricks-And-Clicks Portals,HQ,208773.0,183189.5,1,Capitalize,2025-07-05,2025-12-08,2026-03-02,0.051,1,-25583.5,-0.123,84
CAPEX-1177,Empower Enterprise Schemas,Plant C,491011.0,154204.71,1,Capitalize,2026-05-04,2026-06-10,2026-05-24,-0.079,1,-336806.29000000004,-0.686,-17
CAPEX-1178,Re-Contextualize Vertical Models,HQ,17429.0,8061.62,0,Expense,2025-05-13,2025-11-06,2026-01-16,0.011,1,-9367.380000000001,-0.537,71
CAPEX-1179,Target Back-End Networks,Plant B,412623.0,117782.18,1,Capitalize,2026-01-20,2026-03-14,2026-05-26,0.076,1,-294840.82,-0.715,73
CAPEX-1180,Reinvent Rich Markets,Plant C,53156.0,46441.24,1,Capitalize,2026-03-06,2026-10-27,2026-12-06,-0.072,0,-6714.760000000002,-0.126,40
CAPEX-1181,Reinvent Leading-Edge Portals,Plant C,374220.0,102396.25,1,Capitalize,2025-07-14,2026-02-10,2026-02-03,0.3,1,-271823.75,-0.726,-7
CAPEX-1182,Empower E-Business Web-Readiness,Plant C,237743.0,299798.18,1,Capitalize,2025-06-24,2025-08-13,2025-08-31,0.048,1,62055.17999999999,0.261,18
CAPEX-1183,Visualize One-To-One E-Markets,Plant A,350029.0,283528.35,1,Review Required,2025-06-27,2025-10-30,2026-01-25,-0.029,1,-66500.65000000002,-0.19,87
CAPEX-1184,Embrace Robust Markets,HQ,295735.0,390412.95,1,Capitalize,2025-10-09,2026-02-27,2026-05-11,0.125,1,94677.95000000001,0.32,73
CAPEX-1185,Empower Innovative Models,HQ,318216.0,281361.04,1,Capitalize,2025-06-23,2025-12-26,2026-04-19,0.193,1,-36854.96000000002,-0.116,114
CAPEX-1186,Exploit Bleeding-Edge Bandwidth,Plant B,11804.0,5832.01,1,Capitalize,2026-01-16,2026-08-19,2026-09-06,0.097,1,-5971.99,-0.506,18
CAPEX-1187,Streamline 24/7 Initiatives,Plant B,274994.0,222353.14,1,Expense,2026-05-07,2026-06-12,2026-07-19,-0.078,1,-52640.859999999986,-0.191,37
CAPEX-1188,Transform Cross-Media Channels,Plant B,76452.0,64412.66,1,Capitalize,2025-07-20,2026-03-07,2026-06-12,0.072,0,-12039.339999999997,-0.157,97
CAPEX-1189,Utilize Scalable Partnerships,Plant A,107672.0,85550.45,1,Capitalize,2026-04-06,2026-07-20,2026-10-26,0.198,1,-22121.550000000003,-0.205,98
CAPEX-1190,Extend Intuitive Networks,Plant C,458693.0,548373.05,1,Capitalize,2025-05-17,2025-10-03,2025-10-11,0.006,1,89680.05000000005,0.196,8
CAPEX-1191,Mesh Integrated Markets,Plant C,218198.0,110970.43,1,Capitalize,2025-08-26,2025-12-12,2026-01-02,0.064,1,-107227.57,-0.491,21
CAPEX-1192,Deliver Proactive E-Services,Plant A,242714.0,271384.17,1,Review Required,2026-05-18,2026-06-28,2026-07-19,-0.027,0,28670.169999999984,0.118,21
CAPEX-1193,Seize Open-Source Web-Readiness,Plant A,156414.0,195429.81,1,Capitalize,2025-06-23,2025-12-26,2026-02-14,-0.007,0,39015.81,0.249,50
CAPEX-1194,Transition Viral Solutions,Plant C,263945.0,191531.29,1,Capitalize,2026-05-20,2026-07-02,2026-08-04,0.344,1,-72413.70999999999,-0.274,33
CAPEX-1195,Whiteboard Sticky Initiatives,Plant A,98014.0,124499.09,1,Capitalize,2025-06-14,2026-02-02,2026-01-22,-0.038,1,26485.089999999997,0.27,-11
CAPEX-1196,Expedite Synergistic Relationships,Plant C,334075.0,285274.33,1,Expense,2025-12-27,2026-07-03,2026-10-27,0.004,1,-48800.669999999984,-0.146,116
CAPEX-1197,Expedite Visionary Action-Items,Plant C,127121.0,172351.63,1,Capitalize,2025-11-03,2026-05-20,2026-04-30,-0.028,0,45230.630000000005,0.356,-20
CAPEX-1198,Embrace Strategic Technologies,HQ,271265.0,243024.21,1,Capitalize,2026-01-07,2026-02-09,2026-05-29,0.074,1,-28240.790000000008,-0.104,109
CAPEX-1199,Benchmark Seamless Channels,Plant A,497411.0,610904.37,1,Capitalize,2026-04-16,2026-05-25,2026-08-16,-0.018,0,113493.37,0.228,83
CAPEX-1200,Expedite Compelling Action-Items,Plant A,293256.0,178368.19,1,Capitalize,2025-05-10,2025-11-30,2026-01-20,0.003,1,-114887.81,-0.392,51
CAPEX-1201,Envisioneer Magnetic Niches,Plant C,7412.0,9509.34,1,Review Required,2025-05-06,2025-08-26,2025-09-28,0.308,1,2097.34,0.283,33
CAPEX-1202,Generate Best-Of-Breed Technologies,HQ,447077.0,225884.76,1,Review Required,2026-04-23,2026-09-21,2026-10-30,0.141,1,-221192.24,-0.495,39
CAPEX-1203,Generate Rich Functionalities,HQ,33701.0,8540.31,1,Review Required,2026-02-08,2026-08-25,2026-11-16,0.233,1,-25160.690000000002,-0.747,83
CAPEX-1204,Disintermediate Real-Time Synergies,HQ,174788.0,227346.59,1,Expense,2026-03-18,2026-09-19,2026-12-10,0.242,0,52558.59,0.301,82
CAPEX-1205,Re-Contextualize Sticky Architectures,HQ,275325.0,101361.83,1,Expense,2025-09-17,2026-02-04,2026-04-27,0.024,1,-173963.16999999998,-0.632,82
CAPEX-1206,Enable Revolutionary Synergies,Plant B,282708.0,187181.17,1,Expense,2025-04-30,2025-08-31,2025-11-18,0.168,1,-95526.82999999999,-0.338,79
CAPEX-1207,Expedite Clicks-And-Mortar Partnerships,HQ,100645.0,129222.41,1,Capitalize,2025-09-07,2025-12-20,2025-12-21,0.25,1,28577.410000000003,0.284,1
CAPEX-1208,Morph Collaborative Systems,Plant A,44618.0,53288.98,1,Capitalize,2025-10-27,2026-06-08,2026-07-09,0.009,0,8670.980000000003,0.194,31
CAPEX-1209,Seize Sticky Channels,Plant C,332339.0,396242.59,1,Capitalize,2025-05-22,2025-09-03,2025-09-04,0.178,0,63903.590000000026,0.192,1
CAPEX-1210,Expedite Real-Time Models,HQ,163961.0,224277.91,1,Review Required,2025-05-03,2025-07-19,2025-11-08,0.101,1,60316.91,0.368,112
CAPEX-1211,Mesh User-Centric Info-Mediaries,Plant A,263009.0,184848.43,1,Capitalize,2025-05-26,2025-07-01,2025-06-20,0.304,1,-78160.57,-0.297,-11
CAPEX-1212,Engage Leading-Edge Methodologies,Plant C,396157.0,429404.06,1,Capitalize,2026-02-26,2026-05-15,2026-08-14,0.036,1,33247.06,0.084,91
CAPEX-1213,Engineer Front-End Channels,Plant A,243631.0,339765.36,1,Capitalize,2025-10-22,2025-11-25,2026-01-01,0.305,1,96134.35999999999,0.395,37
CAPEX-1214,Engage Distributed Metrics,Plant B,104809.0,103110.57,1,Capitalize,2025-10-20,2025-12-14,2026-02-08,0.166,1,-1698.429999999993,-0.016,56
CAPEX-1215,Transform Next-Generation Web-Readiness,Plant A,21348.0,19923.45,0,Expense,2025-09-02,2026-01-24,2026-04-14,0.349,1,-1424.5499999999993,-0.067,80
CAPEX-1216,Disintermediate Frictionless Eyeballs,HQ,345650.0,226299.59,1,Capitalize,2025-05-24,2025-09-16,2025-12-31,0.32,1,-119350.41,-0.345,106
CAPEX-1217,Envisioneer Visionary Methodologies,Plant B,152245.0,50565.17,0,Review Required,2025-07-17,2025-09-09,2025-09-24,0.302,1,-101679.83,-0.668,15
CAPEX-1218,Whiteboard Cross-Platform E-Markets,Plant C,138301.0,137438.22,1,Expense,2026-04-17,2026-07-10,2026-06-25,0.119,1,-862.7799999999988,-0.006,-15
CAPEX-1219,Integrate End-To-End E-Markets,HQ,345559.0,401570.97,1,Capitalize,2026-05-14,2026-07-15,2026-07-26,0.291,0,56011.96999999997,0.162,11
CAPEX-1220,Synergize Global Paradigms,Plant B,489155.0,367709.02,1,Review Required,2025-10-03,2026-02-28,2026-06-16,0.102,1,-121445.97999999998,-0.248,108
CAPEX-1221,Strategize B2C Interfaces,Plant B,498066.0,376456.22,1,Expense,2026-03-18,2026-07-17,2026-07-06,0.084,1,-121609.78000000003,-0.244,-11
CAPEX-1222,Re-Contextualize Value-Added Metrics,HQ,8258.0,7426.43,1,Capitalize,2025-05-09,2025-06-27,2025-06-23,0.171,1,-831.5699999999997,-0.101,-4
CAPEX-1223,Seize Bleeding-Edge Web-Readiness,Plant B,80469.0,24500.65,0,Review Required,2025-11-06,2026-04-24,2026-07-18,0.029,1,-55968.35,-0.696,85
CAPEX-1224,Incubate Efficient Portals,Plant B,318785.0,277582.3,1,Expense,2025-12-15,2026-01-15,2026-05-07,0.155,1,-41202.70000000001,-0.129,112
CAPEX-1225,Revolutionize Rich Functionalities,Plant A,404397.0,126512.16,0,Expense,2025-08-28,2026-03-10,2026-02-26,0.094,0,-277884.83999999997,-0.687,-12
CAPEX-1226,Target Robust Deliverables,Plant A,383415.0,277107.62,1,Capitalize,2025-05-23,2026-01-10,2026-04-03,0.241,0,-106307.38,-0.277,83
CAPEX-1227,Utilize Out-Of-The-Box Synergies,HQ,379568.0,132119.48,1,Capitalize,2025-06-03,2025-08-21,2025-08-02,0.147,1,-247448.52,-0.652,-19
CAPEX-1228,Architect End-To-End Users,HQ,311659.0,258704.62,1,Capitalize,2026-02-10,2026-03-22,2026-04-05,0.257,1,-52954.380000000005,-0.17,14
CAPEX-1229,Synergize B2B Niches,HQ,293205.0,230244.27,1,Capitalize,2025-08-25,2026-04-06,2026-07-25,0.058,1,-62960.73000000001,-0.215,110
CAPEX-1230,Strategize Integrated E-Commerce,Plant C,119814.0,159398.34,1,Capitalize,2025-07-19,2025-12-11,2026-03-07,0.216,1,39584.34,0.33,86
CAPEX-1231,Redefine Clicks-And-Mortar Channels,HQ,168041.0,93585.75,1,Review Required,2025-09-16,2026-05-03,2026-05-07,0.093,0,-74455.25,-0.443,4
CAPEX-1232,Empower Cutting-Edge Roi,Plant A,211086.0,85095.34,1,Capitalize,2025-06-22,2025-09-12,2025-10-27,0.231,0,-125990.66,-0.597,45
CAPEX-1233,Engage B2B Models,Plant A,213750.0,136757.85,1,Capitalize,2026-02-04,2026-10-07,2026-11-29,0.17,0,-76992.15,-0.36,53
CAPEX-1234,Seize User-Centric Interfaces,HQ,21016.0,20623.68,1,Capitalize,2025-11-27,2026-07-06,2026-07-09,0.161,1,-392.3199999999997,-0.019,3
CAPEX-1235,Orchestrate Bricks-And-Clicks Web-Readiness,HQ,429700.0,189232.8,1,Capitalize,2025-08-11,2025-11-13,2025-12-18,0.251,1,-240467.2,-0.56,35
CAPEX-1236,Syndicate Turn-Key Functionalities,Plant B,101087.0,120618.47,1,Review Required,2025-07-07,2026-03-09,2026-05-01,0.293,1,19531.47,0.193,53
CAPEX-1237,Cultivate Robust Functionalities,HQ,27049.0,36880.59,1,Capitalize,2026-05-07,2026-11-08,2026-12-06,0.009,1,9831.589999999997,0.363,28
CAPEX-1238,Exploit Visionary Portals,Plant B,143473.0,91053.41,1,Expense,2025-09-15,2026-04-18,2026-06-08,0.163,0,-52419.59,-0.365,51
CAPEX-1239,Enable Bleeding-Edge Channels,Plant A,150483.0,206892.13,1,Capitalize,2026-03-29,2026-06-08,2026-09-07,0.032,1,56409.130000000005,0.375,91
CAPEX-1240,Extend E-Business Technologies,HQ,132763.0,191171.98,1,Capitalize,2025-10-24,2026-01-01,2026-03-09,0.096,1,58408.98000000001,0.44,67
CAPEX-1241,Incubate User-Centric Web Services,Plant B,476237.0,614149.36,1,Expense,2025-10-01,2025-12-27,2026-03-19,0.055,1,137912.36,0.29,82
CAPEX-1242,Productize Cross-Media Users,Plant B,397225.0,538717.28,0,Capitalize,2025-07-30,2026-03-24,2026-05-15,-0.082,1,141492.28000000003,0.356,52
CAPEX-1243,E-Enable Extensible Portals,Plant A,355636.0,416558.28,0,Capitalize,2025-05-11,2025-07-19,2025-09-15,-0.03,0,60922.28000000003,0.171,58
CAPEX-1244,Exploit Out-Of-The-Box Methodologies,Plant A,13305.0,9565.01,1,Review Required,2025-11-17,2026-02-02,2026-04-22,0.318,1,-3739.99,-0.281,79
CAPEX-1245,Brand Dot-Com Partnerships,Plant A,25574.0,23580.48,1,Expense,2025-07-26,2026-02-15,2026-03-16,-0.049,1,-1993.5200000000004,-0.078,29
CAPEX-1246,Optimize Bricks-And-Clicks Synergies,Plant C,44656.0,45042.97,1,Capitalize,2025-05-06,2025-09-05,2026-01-01,0.239,1,386.97000000000116,0.009,118
CAPEX-1247,Deploy Back-End Partnerships,Plant A,352383.0,302340.14,1,Review Required,2025-07-12,2025-12-08,2026-03-28,0.17,1,-50042.859999999986,-0.142,110
CAPEX-1248,Monetize Best-Of-Breed Paradigms,Plant B,395618.0,474210.09,1,Capitalize,2025-08-23,2026-04-25,2026-07-27,-0.005,0,78592.09000000003,0.199,93
CAPEX-1249,Seize Efficient Roi,HQ,49904.0,23269.29,1,Expense,2025-08-03,2025-11-22,2025-12-15,0.05,1,-26634.71,-0.534,23
CAPEX-1250,Drive Wireless Networks,Plant B,311339.0,281811.64,1,Capitalize,2026-04-20,2026-09-29,2026-09-29,0.24,1,-29527.359999999986,-0.095,0
