exception_id,project_id,project_name,location,risk_score,risk_level,exception_summary,recommended_action,financial_exposure,status
EX-CAPEX-1167,CAPEX-1167,Embrace Bricks-And-Clicks E-Commerce,HQ,30,Low,Budget overrun 30.5%,Request variance explanation and approval,121204.19,Open
EX-CAPEX-1046,CAPEX-1046,Implement Customized Systems,Plant C,30,Low,Project delayed by 38 days; Low ROI -6.8%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1108,CAPEX-1108,Exploit Viral Applications,HQ,30,Low,Project delayed by 60 days; Low ROI -8.1%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1043,CAPEX-1043,Extend B2B Portals,Plant A,30,Low,Project delayed by 65 days; Capitalization rule requires review,Review delivery plan and capitalization timing; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1114,CAPEX-1114,Evolve E-Business Deliverables,Plant C,30,Low,Budget overrun 15.1%; Project delayed by 117 days,Request variance explanation and approval; Review delivery plan and capitalization timing,49881.16,Open
EX-CAPEX-1187,CAPEX-1187,Streamline 24/7 Initiatives,Plant B,30,Low,Project delayed by 37 days; Low ROI -7.8%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1003,CAPEX-1003,Deploy Leading-Edge Solutions,HQ,30,Low,Project delayed by 105 days; Capitalization rule requires review,Review delivery plan and capitalization timing; Finance review required for capitalization vs expense treatment,1913.02,Open
EX-CAPEX-1168,CAPEX-1168,Envisioneer Value-Added Initiatives,HQ,30,Low,Project delayed by 119 days; Capitalization rule requires review,Review delivery plan and capitalization timing; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1119,CAPEX-1119,Re-Contextualize B2B Web Services,HQ,30,Low,Project delayed by 93 days; Low ROI -3.8%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1047,CAPEX-1047,Expedite End-To-End Web-Readiness,Plant C,30,Low,Project delayed by 37 days; Low ROI 3.4%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1024,CAPEX-1024,Strategize Cutting-Edge Deliverables,Plant C,30,Low,Project delayed by 65 days; Low ROI 1.2%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1212,CAPEX-1212,Engage Leading-Edge Methodologies,Plant C,30,Low,Project delayed by 91 days; Low ROI 3.6%,Review delivery plan and capitalization timing; Revalidate the business case,33247.06,Open
EX-CAPEX-1123,CAPEX-1123,Iterate Bleeding-Edge Paradigms,Plant A,30,Low,Project delayed by 116 days; Low ROI 0.2%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1220,CAPEX-1220,Synergize Global Paradigms,Plant B,30,Low,Project delayed by 108 days; Capitalization rule requires review,Review delivery plan and capitalization timing; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1247,CAPEX-1247,Deploy Back-End Partnerships,Plant A,30,Low,Project delayed by 110 days; Capitalization rule requires review,Review delivery plan and capitalization timing; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1078,CAPEX-1078,Whiteboard Revolutionary E-Commerce,Plant A,30,Low,Project delayed by 70 days; Low ROI 3.8%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1022,CAPEX-1022,Architect Global Infrastructures,Plant A,30,Low,Project delayed by 59 days; Capitalization rule requires review,Review delivery plan and capitalization timing; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1032,CAPEX-1032,Extend Bricks-And-Clicks Eyeballs,HQ,30,Low,Project delayed by 88 days; Low ROI 4.0%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1052,CAPEX-1052,Disintermediate Clicks-And-Mortar Interfaces,Plant C,30,Low,Project delayed by 117 days; Low ROI 1.8%,Review delivery plan and capitalization timing; Revalidate the business case,0.0,Open
EX-CAPEX-1244,CAPEX-1244,Exploit Out-Of-The-Box Methodologies,Plant A,30,Low,Project delayed by 79 days; Capitalization rule requires review,Review delivery plan and capitalization timing; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1090,CAPEX-1090,Incubate Synergistic Info-Mediaries,HQ,30,Low,Project delayed by 119 days; Capitalization rule requires review,Review delivery plan and capitalization timing; Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1091,CAPEX-1091,Deploy End-To-End Platforms,Plant C,29,Low,Budget overrun 14.1%; Project delayed by 55 days,Request variance explanation and approval; Review delivery plan and capitalization timing,67705.27,Open
EX-CAPEX-1099,CAPEX-1099,Generate Customized Portals,HQ,29,Low,Budget overrun 14.5%; Project delayed by 102 days,Request variance explanation and approval; Review delivery plan and capitalization timing,70933.71,Open
EX-CAPEX-1207,CAPEX-1207,Expedite Clicks-And-Mortar Partnerships,HQ,28,Low,Budget overrun 28.4%,Request variance explanation and approval,28577.41,Open
EX-CAPEX-1116,CAPEX-1116,Empower Bleeding-Edge Networks,Plant B,27,Low,Budget overrun 27.4%,Request variance explanation and approval,89062.2,Open
EX-CAPEX-1016,CAPEX-1016,Incentivize Seamless Web-Readiness,Plant B,25,Low,Budget overrun 10.5%; Project delayed by 91 days,Request variance explanation and approval; Review delivery plan and capitalization timing,31497.88,Open
EX-CAPEX-1130,CAPEX-1130,Strategize Customized Networks,Plant B,25,Low,Budget overrun 10.2%; Low ROI -5.5%,Request variance explanation and approval; Revalidate the business case,45177.34,Open
EX-CAPEX-1112,CAPEX-1112,Engineer Integrated Web-Readiness,Plant B,24,Low,Budget overrun 24.6%,Request variance explanation and approval,48307.05,Open
EX-CAPEX-1140,CAPEX-1140,Engage Bleeding-Edge Methodologies,Plant A,24,Low,Budget overrun 24.0%,Request variance explanation and approval,44487.09,Open
EX-CAPEX-1054,CAPEX-1054,Orchestrate Dynamic Web-Readiness,Plant B,20,Low,Missing supporting documents,"Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1165,CAPEX-1165,Expedite Cross-Media Technologies,Plant B,20,Low,Missing supporting documents,"Attach quotation, approval memo, invoice, and completion certificate",10540.22,Open
EX-CAPEX-1127,CAPEX-1127,Empower Dot-Com E-Tailers,Plant B,20,Low,Missing supporting documents,"Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1080,CAPEX-1080,Disintermediate Turn-Key Models,Plant C,20,Low,Missing supporting documents,"Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1025,CAPEX-1025,Drive Front-End Metrics,Plant C,20,Low,Missing supporting documents,"Attach quotation, approval memo, invoice, and completion certificate",0.0,Open
EX-CAPEX-1063,CAPEX-1063,Incubate Customized Markets,Plant A,17,Low,Budget overrun 17.6%,Request variance explanation and approval,25884.62,Open
EX-CAPEX-1198,CAPEX-1198,Embrace Strategic Technologies,HQ,15,Low,Project delayed by 109 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1229,CAPEX-1229,Synergize B2B Niches,HQ,15,Low,Project delayed by 110 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1224,CAPEX-1224,Incubate Efficient Portals,Plant B,15,Low,Project delayed by 112 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1245,CAPEX-1245,Brand Dot-Com Partnerships,Plant A,15,Low,Low ROI -4.9%,Revalidate the business case,0.0,Open
EX-CAPEX-1194,CAPEX-1194,Transition Viral Solutions,Plant C,15,Low,Project delayed by 33 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1246,CAPEX-1246,Optimize Bricks-And-Clicks Synergies,Plant C,15,Low,Project delayed by 118 days,Review delivery plan and capitalization timing,386.97,Open
EX-CAPEX-1189,CAPEX-1189,Utilize Scalable Partnerships,Plant A,15,Low,Project delayed by 98 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1216,CAPEX-1216,Disintermediate Frictionless Eyeballs,HQ,15,Low,Project delayed by 106 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1214,CAPEX-1214,Engage Distributed Metrics,Plant B,15,Low,Project delayed by 56 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1235,CAPEX-1235,Orchestrate Bricks-And-Clicks Web-Readiness,HQ,15,Low,Project delayed by 35 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1206,CAPEX-1206,Enable Revolutionary Synergies,Plant B,15,Low,Project delayed by 79 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1001,CAPEX-1001,Grow Customized Initiatives,Plant B,15,Low,Project delayed by 51 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1185,CAPEX-1185,Empower Innovative Models,HQ,15,Low,Project delayed by 114 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1064,CAPEX-1064,Innovate Front-End Markets,Plant B,15,Low,Project delayed by 96 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1086,CAPEX-1086,Aggregate Value-Added Communities,Plant A,15,Low,Project delayed by 102 days,Review delivery plan and capitalization timing,14182.69,Open
EX-CAPEX-1085,CAPEX-1085,Reinvent Killer Platforms,Plant C,15,Low,Low ROI -6.5%,Revalidate the business case,299.12,Open
EX-CAPEX-1079,CAPEX-1079,Engage Cutting-Edge Supply-Chains,Plant C,15,Low,Low ROI -1.2%,Revalidate the business case,0.0,Open
EX-CAPEX-1076,CAPEX-1076,Maximize Revolutionary Models,Plant A,15,Low,Project delayed by 113 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1075,CAPEX-1075,Brand Granular Relationships,Plant A,15,Low,Project delayed by 65 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1074,CAPEX-1074,Evolve Integrated E-Markets,Plant B,15,Low,Project delayed by 116 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1073,CAPEX-1073,Deliver Open-Source E-Tailers,Plant B,15,Low,Project delayed by 98 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1068,CAPEX-1068,Generate One-To-One Synergies,Plant A,15,Low,Project delayed by 54 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1067,CAPEX-1067,Morph Magnetic Applications,Plant B,15,Low,Project delayed by 54 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1065,CAPEX-1065,Repurpose Robust Relationships,Plant A,15,Low,Project delayed by 106 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1060,CAPEX-1060,Disintermediate Leading-Edge Mindshare,Plant C,15,Low,Project delayed by 108 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1089,CAPEX-1089,Brand Cross-Media Functionalities,Plant A,15,Low,Project delayed by 92 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1059,CAPEX-1059,Syndicate Value-Added Supply-Chains,HQ,15,Low,Project delayed by 61 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1050,CAPEX-1050,Architect E-Business Paradigms,Plant B,15,Low,Project delayed by 32 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1040,CAPEX-1040,Deploy Robust Content,Plant B,15,Low,Project delayed by 116 days,Review delivery plan and capitalization timing,980.05,Open
EX-CAPEX-1039,CAPEX-1039,Iterate Synergistic Models,Plant C,15,Low,Project delayed by 80 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1029,CAPEX-1029,Envisioneer Back-End Experiences,HQ,15,Low,Low ROI 0.3%,Revalidate the business case,14836.73,Open
EX-CAPEX-1023,CAPEX-1023,Synergize Integrated Networks,Plant C,15,Low,Low ROI -1.4%,Revalidate the business case,4614.17,Open
EX-CAPEX-1021,CAPEX-1021,Maximize Back-End Schemas,HQ,15,Low,Project delayed by 92 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1020,CAPEX-1020,Synergize Compelling Methodologies,Plant C,15,Low,Project delayed by 38 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1005,CAPEX-1005,Optimize User-Centric Users,Plant A,15,Low,Project delayed by 116 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1004,CAPEX-1004,Extend Rich Networks,Plant A,15,Low,Project delayed by 59 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1179,CAPEX-1179,Target Back-End Networks,Plant B,15,Low,Project delayed by 73 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1088,CAPEX-1088,Re-Intermediate Robust E-Business,Plant C,15,Low,Project delayed by 83 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1097,CAPEX-1097,Grow Cutting-Edge E-Markets,HQ,15,Low,Project delayed by 47 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1151,CAPEX-1151,Re-Contextualize Value-Added Markets,Plant B,15,Low,Project delayed by 37 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1177,CAPEX-1177,Empower Enterprise Schemas,Plant C,15,Low,Low ROI -7.9%,Revalidate the business case,0.0,Open
EX-CAPEX-1176,CAPEX-1176,Cultivate Bricks-And-Clicks Portals,HQ,15,Low,Project delayed by 84 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1175,CAPEX-1175,Target Back-End Metrics,HQ,15,Low,Project delayed by 72 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1174,CAPEX-1174,Integrate World-Class Roi,Plant B,15,Low,Low ROI -3.6%,Revalidate the business case,0.0,Open
EX-CAPEX-1173,CAPEX-1173,Syndicate Visionary Models,HQ,15,Low,Project delayed by 79 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1171,CAPEX-1171,Utilize Sticky Systems,Plant A,15,Low,Capitalization rule requires review,Finance review required for capitalization vs expense treatment,0.0,Open
EX-CAPEX-1170,CAPEX-1170,Syndicate Best-Of-Breed Eyeballs,HQ,15,Low,Project delayed by 37 days,Review delivery plan and capitalization timing,5766.32,Open
EX-CAPEX-1162,CAPEX-1162,Cultivate Distributed Eyeballs,HQ,15,Low,Project delayed by 69 days,Review delivery plan and capitalization timing,9308.17,Open
EX-CAPEX-1161,CAPEX-1161,Scale 24/365 Experiences,Plant B,15,Low,Project delayed by 45 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1160,CAPEX-1160,Enhance Cross-Media Applications,Plant A,15,Low,Low ROI -0.5%,Revalidate the business case,0.0,Open
EX-CAPEX-1158,CAPEX-1158,Harness E-Business E-Markets,Plant B,15,Low,Project delayed by 68 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1150,CAPEX-1150,Transform Seamless Action-Items,Plant B,15,Low,Project delayed by 65 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1147,CAPEX-1147,Streamline Efficient E-Markets,HQ,15,Low,Low ROI -3.9%,Revalidate the business case,0.0,Open
EX-CAPEX-1143,CAPEX-1143,Grow B2C Interfaces,Plant A,15,Low,Project delayed by 72 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1142,CAPEX-1142,Innovate Ubiquitous Applications,Plant A,15,Low,Low ROI -2.5%,Revalidate the business case,0.0,Open
EX-CAPEX-1136,CAPEX-1136,Implement Distributed Functionalities,Plant B,15,Low,Project delayed by 33 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1131,CAPEX-1131,Engineer Value-Added Models,Plant A,15,Low,Project delayed by 78 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1120,CAPEX-1120,Deliver Web-Enabled E-Tailers,HQ,15,Low,Low ROI 0.3%,Revalidate the business case,0.0,Open
EX-CAPEX-1111,CAPEX-1111,Transition Distributed Markets,Plant A,15,Low,Project delayed by 108 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1105,CAPEX-1105,Leverage Proactive Interfaces,Plant A,15,Low,Project delayed by 101 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1122,CAPEX-1122,Re-Intermediate 24/365 Mindshare,Plant B,15,Low,Project delayed by 83 days,Review delivery plan and capitalization timing,0.0,Open
EX-CAPEX-1048,CAPEX-1048,Re-Contextualize Intuitive Action-Items,Plant C,14,Low,Budget overrun 14.2%,Request variance explanation and approval,7157.67,Open
EX-CAPEX-1081,CAPEX-1081,Unleash Seamless Infrastructures,HQ,14,Low,Budget overrun 14.4%,Request variance explanation and approval,36353.89,Open
EX-CAPEX-1030,CAPEX-1030,Grow B2B E-Tailers,Plant A,11,Low,Budget overrun 11.5%,Request variance explanation and approval,46988.69,Open
EX-CAPEX-1102,CAPEX-1102,Embrace Wireless Relationships,Plant B,10,Low,Budget overrun 10.9%,Request variance explanation and approval,9543.9,Open
