project_id,project_name,location,approved_budget,actual_spend,approval_flag,capitalization_rule,start_date,planned_end_date,actual_end_date,expected_roi,supporting_docs_flag
CAPEX-1191,Mesh Integrated Markets,Plant C,218198.0,110970.43,1,Capitalize,2025-08-26,2025-12-12,2026-01-02,0.064,1
CAPEX-1192,Deliver Proactive E-Services,Plant A,242714.0,271384.17,1,Review Required,2026-05-18,2026-06-28,2026-07-19,-0.027,0
CAPEX-1193,Seize Open-Source Web-Readiness,Plant A,156414.0,195429.81,1,Capitalize,2025-06-23,2025-12-26,2026-02-14,-0.007,0
CAPEX-1194,Transition Viral Solutions,Plant C,263945.0,191531.29,1,Capitalize,2026-05-20,2026-07-02,2026-08-04,0.344,1
CAPEX-1195,Whiteboard Sticky Initiatives,Plant A,98014.0,124499.09,1,Capitalize,2025-06-14,2026-02-02,2026-01-22,-0.038,1
CAPEX-1196,Expedite Synergistic Relationships,Plant C,334075.0,285274.33,1,Expense,2025-12-27,2026-07-03,2026-10-27,0.004,1
CAPEX-1197,Expedite Visionary Action-Items,Plant C,127121.0,172351.63,1,Capitalize,2025-11-03,2026-05-20,2026-04-30,-0.028,0
CAPEX-1198,Embrace Strategic Technologies,HQ,271265.0,243024.21,1,Capitalize,2026-01-07,2026-02-09,2026-05-29,0.074,1
CAPEX-1199,Benchmark Seamless Channels,Plant A,497411.0,610904.37,1,Capitalize,2026-04-16,2026-05-25,2026-08-16,-0.018,0
CAPEX-1200,Expedite Compelling Action-Items,Plant A,293256.0,178368.19,1,Capitalize,2025-05-10,2025-11-30,2026-01-20,0.003,1
CAPEX-1201,Envisioneer Magnetic Niches,Plant C,7412.0,9509.34,1,Review Required,2025-05-06,2025-08-26,2025-09-28,0.308,1
CAPEX-1202,Generate Best-Of-Breed Technologies,HQ,447077.0,225884.76,1,Review Required,2026-04-23,2026-09-21,2026-10-30,0.141,1
CAPEX-1203,Generate Rich Functionalities,HQ,33701.0,8540.31,1,Review Required,2026-02-08,2026-08-25,2026-11-16,0.233,1
CAPEX-1204,Disintermediate Real-Time Synergies,HQ,174788.0,227346.59,1,Expense,2026-03-18,2026-09-19,2026-12-10,0.242,0
CAPEX-1205,Re-Contextualize Sticky Architectures,HQ,275325.0,101361.83,1,Expense,2025-09-17,2026-02-04,2026-04-27,0.024,1
CAPEX-1206,Enable Revolutionary Synergies,Plant B,282708.0,187181.17,1,Expense,2025-04-30,2025-08-31,2025-11-18,0.168,1
CAPEX-1207,Expedite Clicks-And-Mortar Partnerships,HQ,100645.0,129222.41,1,Capitalize,2025-09-07,2025-12-20,2025-12-21,0.25,1
CAPEX-1208,Morph Collaborative Systems,Plant A,44618.0,53288.98,1,Capitalize,2025-10-27,2026-06-08,2026-07-09,0.009,0
CAPEX-1209,Seize Sticky Channels,Plant C,332339.0,396242.59,1,Capitalize,2025-05-22,2025-09-03,2025-09-04,0.178,0
CAPEX-1210,Expedite Real-Time Models,HQ,163961.0,224277.91,1,Review Required,2025-05-03,2025-07-19,2025-11-08,0.101,1
CAPEX-1211,Mesh User-Centric Info-Mediaries,Plant A,263009.0,184848.43,1,Capitalize,2025-05-26,2025-07-01,2025-06-20,0.304,1
CAPEX-1212,Engage Leading-Edge Methodologies,Plant C,396157.0,429404.06,1,Capitalize,2026-02-26,2026-05-15,2026-08-14,0.036,1
CAPEX-1213,Engineer Front-End Channels,Plant A,243631.0,339765.36,1,Capitalize,2025-10-22,2025-11-25,2026-01-01,0.305,1
CAPEX-1214,Engage Distributed Metrics,Plant B,104809.0,103110.57,1,Capitalize,2025-10-20,2025-12-14,2026-02-08,0.166,1
CAPEX-1215,Transform Next-Generation Web-Readiness,Plant A,21348.0,19923.45,0,Expense,2025-09-02,2026-01-24,2026-04-14,0.349,1
CAPEX-1216,Disintermediate Frictionless Eyeballs,HQ,345650.0,226299.59,1,Capitalize,2025-05-24,2025-09-16,2025-12-31,0.32,1
CAPEX-1217,Envisioneer Visionary Methodologies,Plant B,152245.0,50565.17,0,Review Required,2025-07-17,2025-09-09,2025-09-24,0.302,1
CAPEX-1218,Whiteboard Cross-Platform E-Markets,Plant C,138301.0,137438.22,1,Expense,2026-04-17,2026-07-10,2026-06-25,0.119,1
CAPEX-1219,Integrate End-To-End E-Markets,HQ,345559.0,401570.97,1,Capitalize,2026-05-14,2026-07-15,2026-07-26,0.291,0
CAPEX-1220,Synergize Global Paradigms,Plant B,489155.0,367709.02,1,Review Required,2025-10-03,2026-02-28,2026-06-16,0.102,1
CAPEX-1221,Strategize B2C Interfaces,Plant B,498066.0,376456.22,1,Expense,2026-03-18,2026-07-17,2026-07-06,0.084,1
CAPEX-1222,Re-Contextualize Value-Added Metrics,HQ,8258.0,7426.43,1,Capitalize,2025-05-09,2025-06-27,2025-06-23,0.171,1
CAPEX-1223,Seize Bleeding-Edge Web-Readiness,Plant B,80469.0,24500.65,0,Review Required,2025-11-06,2026-04-24,2026-07-18,0.029,1
CAPEX-1224,Incubate Efficient Portals,Plant B,318785.0,277582.3,1,Expense,2025-12-15,2026-01-15,2026-05-07,0.155,1
CAPEX-1225,Revolutionize Rich Functionalities,Plant A,404397.0,126512.16,0,Expense,2025-08-28,2026-03-10,2026-02-26,0.094,0
CAPEX-1226,Target Robust Deliverables,Plant A,383415.0,277107.62,1,Capitalize,2025-05-23,2026-01-10,2026-04-03,0.241,0
CAPEX-1227,Utilize Out-Of-The-Box Synergies,HQ,379568.0,132119.48,1,Capitalize,2025-06-03,2025-08-21,2025-08-02,0.147,1
CAPEX-1228,Architect End-To-End Users,HQ,311659.0,258704.62,1,Capitalize,2026-02-10,2026-03-22,2026-04-05,0.257,1
CAPEX-1229,Synergize B2B Niches,HQ,293205.0,230244.27,1,Capitalize,2025-08-25,2026-04-06,2026-07-25,0.058,1
CAPEX-1230,Strategize Integrated E-Commerce,Plant C,119814.0,159398.34,1,Capitalize,2025-07-19,2025-12-11,2026-03-07,0.216,1
CAPEX-1231,Redefine Clicks-And-Mortar Channels,HQ,168041.0,93585.75,1,Review Required,2025-09-16,2026-05-03,2026-05-07,0.093,0
CAPEX-1232,Empower Cutting-Edge Roi,Plant A,211086.0,85095.34,1,Capitalize,2025-06-22,2025-09-12,2025-10-27,0.231,0
CAPEX-1233,Engage B2B Models,Plant A,213750.0,136757.85,1,Capitalize,2026-02-04,2026-10-07,2026-11-29,0.17,0
CAPEX-1234,Seize User-Centric Interfaces,HQ,21016.0,20623.68,1,Capitalize,2025-11-27,2026-07-06,2026-07-09,0.161,1
CAPEX-1235,Orchestrate Bricks-And-Clicks Web-Readiness,HQ,429700.0,189232.8,1,Capitalize,2025-08-11,2025-11-13,2025-12-18,0.251,1
CAPEX-1236,Syndicate Turn-Key Functionalities,Plant B,101087.0,120618.47,1,Review Required,2025-07-07,2026-03-09,2026-05-01,0.293,1
CAPEX-1237,Cultivate Robust Functionalities,HQ,27049.0,36880.59,1,Capitalize,2026-05-07,2026-11-08,2026-12-06,0.009,1
CAPEX-1238,Exploit Visionary Portals,Plant B,143473.0,91053.41,1,Expense,2025-09-15,2026-04-18,2026-06-08,0.163,0
CAPEX-1239,Enable Bleeding-Edge Channels,Plant A,150483.0,206892.13,1,Capitalize,2026-03-29,2026-06-08,2026-09-07,0.032,1
CAPEX-1240,Extend E-Business Technologies,HQ,132763.0,191171.98,1,Capitalize,2025-10-24,2026-01-01,2026-03-09,0.096,1
CAPEX-1241,Incubate User-Centric Web Services,Plant B,476237.0,614149.36,1,Expense,2025-10-01,2025-12-27,2026-03-19,0.055,1
CAPEX-1242,Productize Cross-Media Users,Plant B,397225.0,538717.28,0,Capitalize,2025-07-30,2026-03-24,2026-05-15,-0.082,1
CAPEX-1243,E-Enable Extensible Portals,Plant A,355636.0,416558.28,0,Capitalize,2025-05-11,2025-07-19,2025-09-15,-0.03,0
CAPEX-1244,Exploit Out-Of-The-Box Methodologies,Plant A,13305.0,9565.01,1,Review Required,2025-11-17,2026-02-02,2026-04-22,0.318,1
CAPEX-1245,Brand Dot-Com Partnerships,Plant A,25574.0,23580.48,1,Expense,2025-07-26,2026-02-15,2026-03-16,-0.049,1
CAPEX-1246,Optimize Bricks-And-Clicks Synergies,Plant C,44656.0,45042.97,1,Capitalize,2025-05-06,2025-09-05,2026-01-01,0.239,1
CAPEX-1247,Deploy Back-End Partnerships,Plant A,352383.0,302340.14,1,Review Required,2025-07-12,2025-12-08,2026-03-28,0.17,1
CAPEX-1248,Monetize Best-Of-Breed Paradigms,Plant B,395618.0,474210.09,1,Capitalize,2025-08-23,2026-04-25,2026-07-27,-0.005,0
CAPEX-1249,Seize Efficient Roi,HQ,49904.0,23269.29,1,Expense,2025-08-03,2025-11-22,2025-12-15,0.05,1
CAPEX-1250,Drive Wireless Networks,Plant B,311339.0,281811.64,1,Capitalize,2026-04-20,2026-09-29,2026-09-29,0.24,1
